foruser,bname,categories,businessid,username,yelping since,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,latitude,longitude,text
tcg8ZN8Pq2oLRYZX7dga7Q,Dozo Japanese Cuisine,Sushi Bars#Japanese#Restaurants,9VYZA4vEKtT_SXHj-ZK_1Q,Heather,1.18594E+12,9,4,9,575,201,4,3.72,50,33.4991916,-111.9178159,"If you are looking for a detailed review of the sushi here, I can't help you.  I am not a sushi eater.  You may tie me to the whipping post now.  My husband, however, LOVES sushi.  He would like nothing better than to live in Japan again.  And I will say he is very impressed with Dozo.Since our relationship is not all about me, I allow him to take me to dinner here once for every 20 times I make him eat Mexican food.  And I admit, I always enjoy it too.  They have a great menu in addition to sushi.  I always have a combination which is tempura with your choice of entree.  Fantastic tempura every time.  I've tried the katsu chicken, terriyaki salmon, and plum chicken as well.  Service is excellent.  The servers actually seem to appreciate your business and the sushi chef always thanks us as we are leaving even though we're not sitting at the sushi bar.  Relaxed, casual atmosphere.  No need to ho up to come here.  Very enjoyable."
tcg8ZN8Pq2oLRYZX7dga7Q,Salvadoreno Restaurant,Latin American#Restaurants,vxPPpj5jJKO8DtapF5S-NQ,Ryan,1.23856E+12,2,1,3,442,243,4,3.67,31,33.3924628,-111.8248831,"It was blind luck that I stumbled across ceviche over 10 years ago as a young lad living in Los Mochis, Sinaloa.  Since then it has become a signature dish in my heart and I've gone out of my to find restaurants whose reputations are tied to this savory dish from the sea.  I was excited when I recently read a piece in Phoenix Magazine lauding the ceviche of Salvadoreno as one of the essential dishes of the valley.  I soon headed east to determine whether or not this dish would rival my favorite versions of the dish; the beach side shack outside of Topolobompo and the Halibut Ceviche of the Foundry Grill up at Sundance in Utah.We were greeted by the friendly yet chaotic smile that it so common with Latin American dives.  We quickly ordered some horchata, very strong, and some pupusas, above average, before we prepared to dine the reason for our visit.I certainly wasn't disappointed.  My only real hang up was their interpretation of what a portion should be.  The dish could serve 4 people without a problem.  The ingredients were standard to ceviche and all tasted very fresh.  The only slight difference was that the shrimp on top were grilled.  We finished the meal with Nuegados de Yuca con miel, fried but not too heavy, and called it a meal.  While it wasn't the best ceviche it was certainly among the top tier.  The restaurant is just close enough to warrant a semi regular visit.  A great place that deserves your attention.  Just remember that when you order the ceviche bring a friend or three along for the ride."
tcg8ZN8Pq2oLRYZX7dga7Q,Casbah,Wine Bars#Bars#Mediterranean#Nightlife#Restaurants,2SwC8wqpZC4B9iFVTgYT9A,Sarah,1.22024E+12,0,0,0,160,13,4,3.77,5,40.458138,-79.924797,Can be moderately priced for lunch -- take advantage!  We had a cheese tasting simply because I *never* pass up Pleasant Ridge Reserve when given the opportunity.  They also choose a lovely soft sheep's milk and an herbed goat cheese from Cypress Grove.  Nice work but pricey -- only two slices of baguette and apple!  I had the romaine salad -- should have gone with a sandwich and the delicious looking truffle fries!  The feta and red pepper dressing were just too salty and rich for 1pm.  I spied a number of delicious looking sandwiches from my table...Service was great and the waiter even went out of his way to answer a couple questions about the cheese selection.
tcg8ZN8Pq2oLRYZX7dga7Q,King Gyros,Greek#Mediterranean#Restaurants,LxNehlnStQY_rxEwiPof_g,Shawn,1.39365E+12,0,0,0,8,0,5,4.62,0,33.6106434,-112.1500691,"This is my favorite Mediterranean restaurant in Phoenix. Growing up in Chicago, it was hard for me to find a Greek spot that I really enjoyed, but have found exactly what I was looking for at King Gyros. The owners are always so kind, and welcoming, and there is always just a great atmosphere every time I stop by. Most people can not taste the difference with Gyros, but I have to say they have the best Gyro meat. Their tzatziki sauce is probably one of my favorite things about the place. It just makes everything better! Their Chicken Pita sandwich is also always amazing. Their spices and ingredients are what makes their restaurant stand out. I will continue to come to king gyros while I live in Phoenix at least once a week. Go and try it out for yourselves, I promise you will not be disappointed!"
tcg8ZN8Pq2oLRYZX7dga7Q,Carolina's Mexican Food,Mexican#Restaurants,d52zg-S0o940WUCK-nNiKw,Logan,1.35174E+12,0,0,0,20,0,4,3.2,0,33.4315556,-112.0560841,"The food here is 5 stars. It is my favorite place to go for Mexican food. My favorite item on the menu is a #9, two tacos with beans and rice. All of the menu items are very reasonably priced and relative to the portion sizes.The only downside of this location is the decor. It is clearly a successful restaurant and they should invest in some better seating. It looks rather trashy on the inside, but then again, maybe that is part of its charm."
tcg8ZN8Pq2oLRYZX7dga7Q,SOLO Trattoria,Restaurants#Italian,mFBBtUrWMqikBS-Jn-RiIw,lisa,1.23856E+12,0,0,0,24,0,5,4.54,0,33.5093009,-112.0257951,"So we were going to another popular restaurant around the corner from Solo Trattoria and while waiting we decided to give Solo Trattoria a try after looking at the menu and hearing the story behind the restaurant. As promised, the food is super fresh Tuscan style food. I believe he said ""Farm to table"" and he was dead on. The Burratta on toasts was excellent followed by the meatballs that my husband loved. We had the special and loved it. My husband is a definite meat and potatoes kind of guy and was looking forward to the traditional steak house appetizers from the place originally planned. But....he love the food at Solo Trattoria and we also loved trying a new family owned Phoenix business in the Biltmore area. I wish for their sake, they were on the beaten path, but I promise that if you take the extra walk through the tunnel or do the valet or the huge parking garage, you won't be disappointed with Solo Trattoria on the west side of the traditional Biltmore shops!"
tcg8ZN8Pq2oLRYZX7dga7Q,Hazelnuts Creperie,Food#Desserts#Breakfast & Brunch#Creperies#Restaurants,c8G5lj5pAv9KEwz0piZjNQ,Christina,1.35702E+12,0,0,1,9,3,4,4.22,0,35.226433,-80.84468,"The crepes are really, really good! I tried the Nutella and banana combo and it was delicious. The crepes are pretty large, and could be shared. I thought they had a nice menu of both savory and sweet crepes. The service was friendly and fast. I felt the prices were reasonable $5-8 for a crepe. And I actually liked the location,  it was a great set-up if you have little ones. We will be back!"
tcg8ZN8Pq2oLRYZX7dga7Q,House of Tricks,American (New)#Restaurants,EKzMHI1tip8rC1-ZAy64yg,Aileen,1.37265E+12,0,0,0,68,21,4,3.91,0,33.4235148,-111.9374375,"This is a FANCY place in Tempe! Who knew?? I've lived in AZ for 1.5 years and had never heard of this place. It is hidden off of Mill Ave and is super cute. There are indoor and outdoor seating areas. I would recommend outdoors if the weather permits. There are orange trees and heaters and the waiters are extremely attentive.Now let's get to the good part..the FOOD :)We had a ton of appetizers - shrimp, chicken and veggies and all were really good. The sauce on the shrimp was a little weird, but i really liked the chicken (i think it was a peanut sauce) I especially liked their bruschetta and wine selections."
tcg8ZN8Pq2oLRYZX7dga7Q,KoKo FitClub,Active Life#Gyms#Trainers#Fitness & Instruction,a6VRip3_uMe67A6KP3-gBg,Jillian,1.33325E+12,0,0,2,9,1,5,3.78,1,33.5368116,-112.0474868,"Amazing concept, especially for people who haven't really worked out a ton. The place is pretty small but the owners are really nice and helpful. The machines and program are really effective at achieving a proper workout without wasting multiple hours at the gym. It really is like having a personal trainer since every workout is planned out for you via screen and it also picks appropriate weight levels. The cord/ point system is a neat gimmick to keep you intrigued and makes working towards the next goal a challenge"
tcg8ZN8Pq2oLRYZX7dga7Q,The Upper Bout,Musical Instruments & Teachers#Shopping,VjqxGg-jVOmU_--NAYCrQQ,Monica,1.25705E+12,0,0,1,3,1,5,3.67,0,40.107102,-88.243891,"This place is absolutely awesome and the customer service was top-notch. As a beginner, I am pretty uneducated when it comes to my guitar. My guitar teacher suggested I get the action lowered on my guitar so I called around town trying to get quotes and time frames on such a procedure. Unfortunately, I did not have very good experiences calling various places around town. But, fortunately, I was referred to Upper Bout by two experienced guitarists and I decided to pop in on my lunch break today. I had no idea what to expect, but the minute I walked into the store, I was greeted warmly and was surprised that they fixed my guitar right on the spot! Ricky was amazing. He took the time to explain to me each and every thing he was doing to my guitar, educated me on various aspects regarding the make of guitar, and even eased my concerns about the scary noises my guitar was making as he made adjustments. As if that wasn't enough, he made my guitar sing AND the price was totally reasonable (especially compared to many of the places I called)! I was so incredibly pleased with the experience that I will continue to refer people here and will continue to take them my business. Thank you to Ricky and The Upper Bout for the good experience! You guys are great and I will be spreading the word!"
gu_psXKjPTywXuDgrhY_rA,BeautyWorx,Hair Salons#Hair Extensions#Hair Stylists#Beauty & Spas,mVFC6uFv9iOH3ckSuZTNJA,Ashley,1.4016E+12,0,0,0,2,0,5,5,0,33.605972,-112.066355,"I have been going to BeautyWorx now for a few years, and I have had nothing but wonderful experiences there! First off, when you walk through the door, someone friendly is always there to greet you and make sure you are taking care of. Second, the place is so colorful with so many new magazines, hair books, products to look at I hardly even sit on my phone. Third, I go see Krissy Moore for my haircuts. She is AMAZING in so many ways, not only talented at cutting hair, but has an awesome sensor or humor, a friendly positive attitude, and always does a phenomenal job!!! She and I have become good friends because of it! I look forward to getting my haircuts there, even though it is a drive from where I live. I recently moved to Flagstaff, Arizona, so for me- this commute is a 2 hour driving distance. I don't care! She does such a great job, I make an appointment way in advance so I can schedule in the time to make the drive. Worth every second!! Thank you BeautyWorx for your amazing stylists, friendly personalities, colorful environment, and overall GREAT SERVICE!!! I highly recommend anyone and everyone to go here for their hair, nails, and more!"
gu_psXKjPTywXuDgrhY_rA,BBC at the Edinburgh Festivals,Arts & Entertainment#Festivals#Local Flavor,vlAXNbATEK2llSmW7ctgxg,Claire,1.33325E+12,1,0,1,387,61,4,4,9,55.9453189,-3.1864578,"Decent Fringe venue and being run by the BBC then it is pretty well organised.You can log onto the BBC website and get free tickets. Just register for the shows you fancy and if there is space, you'll get a confirmation email. Turn up early as more emails are issued than they have capacity for as there are always no shows and they want bums on seats.Venue inside is spacious enough - lighting and sound is great and no obstruction views for what I could see. Even queuing is civilised as you get in based on your ticket number e.g.. 1-10, 11-30, etc. Even getting there early is ok - fake grass, bar serving the usual options and prices not to horrific (�4.50 for G&T - Hendricks).Good range of acts on from tasters of well known comedians and acts to kids stuff. Worth checking out."
